,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha
1181,E(o),91.036,28.023,2019,11.43,4260,0,other,0,11.258000498927407
1182,E(o),91.044,28.013,2019,10.44,4421,0,other,0,11.258000498927407
1183,E(o),91.027,28.01,2019,12.41,4251,0,other,0,11.258000498927407
1184,O,91.487,28.518,2019,16.29,5125,0,other,0,
1185,E(o),91.257,28.088,2019,56.11,4630,0,other,0,52.287131114113166
1186,E(o),91.261,28.045,2019,12.47,4600,0,other,0,8.874590836919339
1187,E(o),91.294,28.043,2019,12.82,4780,0,other,0,24.096142912845615
1188,E(c),91.292,28.012,2019,11.21,4622,0,other,0,24.096142912845615
1189,E(o),91.262,28.001,2019,18.16,4464,0,other,0,16.570951940669218
1190,E(o),90.817,27.988,2019,10.54,4905,0,other,0,7.850618006689858
1191,E(o),90.827,27.984,2019,10.85,4737,0,other,0,7.850618006689858
1192,E(o),90.894,27.967,2019,22.1,4579,0,other,0,9.041650589891873
1193,E(o),90.955,27.956,2019,12.03,4606,0,other,0,5.790362569026156
1194,E(c),90.974,27.947,2019,11.2,4426,0,other,0,5.790362569026156
1195,E(o),90.945,27.939,2019,11.87,4504,0,other,0,5.790362569026156
1196,E(o),90.845,27.913,2019,14.42,4509,0,other,0,6.427106840129484
1197,E(c),90.98,27.903,2019,13.54,4290,0,other,0,20.317445182118266
1198,E(o),90.997,27.896,2019,33.11,4361,0,other,0,20.317445182118266
1199,E(c),90.966,27.891,2019,25.72,4359,0,other,0,17.14345919089024
1200,E(c),90.999,27.875,2019,11.54,4203,0,other,0,20.317445182118266
1201,E(o),90.85,27.866,2019,10.38,4600,0,other,0,55.24500474676216
1202,E(o),91.215,27.985,2019,15.78,4311,0,other,0,8.088930001000607
1203,E(o),91.056,27.956,2019,13.72,4055,0,other,0,2.775804213525693
1204,E(o),91.241,27.909,2019,14.74,4347,0,other,0,18.33005627318794
1205,E(o),91.242,27.902,2019,10.02,4180,0,other,0,18.33005627318794
1206,E(o),91.014,27.877,2019,12.25,4162,0,other,0,18.88892579431941
1207,E(o),91.24,27.803,2019,15.09,4077,0,other,0,0.9531871865465913
1208,E(c),91.287,27.996,2019,17.81,4522,0,other,0,16.570951940669218
1209,E(c),91.426,27.963,2019,13.31,4858,0,other,0,10.54888957529291
1210,E(c),91.27,27.931,2019,39.76,4732,0,other,0,50.45802295268772
1211,E(o),91.3,27.929,2019,20.27,4371,0,other,0,50.45802295268772
1212,E(c),91.26,27.914,2019,26.95,4744,0,other,0,35.38484632233029
1213,E(c),91.29,27.904,2019,31.66,4625,0,other,0,21.66738150119376
1214,E(c),91.306,27.893,2019,21.44,4060,0,other,0,20.63561465392617
1215,E(o),91.281,27.884,2019,12.54,4802,0,other,0,21.66738150119376
1216,E(c),91.271,27.843,2019,19.59,3980,0,other,0,5.875851821793669
1217,M(o),90.355,28.046,2019,48.12,5278,0,moraine,0,83.46084758805408
1218,M(e),90.364,28.037,2019,84.1,5216,0,moraine,0,83.46084758805408
1219,M(e),90.374,28.014,2019,72.68,5182,0,moraine,0,95.84615260036105
1220,M(o),90.353,28.014,2019,16.95,5300,0,moraine,0,94.33995173482123
1221,M(o),90.328,28.005,2019,35.64,5376,0,moraine,0,34.88485700522027
1222,M(o),90.311,28.002,2019,10.53,5461,0,moraine,0,37.02862794966193
1223,E(c),90.537,28.04,2019,17.91,5002,0,other,0,58.00923382888889
1224,M(o),90.546,28.038,2019,15.05,4993,0,moraine,0,69.97515708729311
1225,M(o),90.625,28.034,2019,26.46,5172,0,moraine,0,48.42265134460776
1226,E(o),90.664,28.034,2019,31.04,4715,0,other,0,28.217252218890795
1227,M(e),90.709,28.022,2019,145.52,4868,0,moraine,0,151.566187366667
1228,M(o),90.572,28.006,2019,13.49,5155,0,moraine,0,12.524221928123705
1229,E(o),90.705,28.003,2019,33.03,4927,0,other,0,118.51157113153057
1230,I(s),90.54,28.003,2019,23.97,4700,0,ice,1,23.94419786620026
1231,M(l),90.418,27.99,2019,33.1,5178,0,moraine,0,40.123047393801464
1232,M(o),90.38,27.987,2019,13.26,5242,0,moraine,0,30.284831768763762
1233,M(l),90.437,27.984,2019,21.73,5093,0,moraine,0,40.123047393801464
1234,M(o),90.381,27.98,2019,20.26,5233,0,moraine,0,20.539143346226247
1235,M(o),90.331,27.97,2019,22.19,5314,0,moraine,0,24.34805197732612
1236,M(o),90.412,27.968,2019,22.89,5208,0,moraine,0,39.88517316773835
1237,M(o),90.378,27.946,2019,10.42,5273,0,moraine,0,18.3256185511447
1238,M(o),90.397,27.94,2019,19.37,5203,0,moraine,0,18.3256185511447
1239,M(o),90.295,27.931,2019,10.0,5183,0,moraine,0,15.868324926241746
1240,M(o),90.408,27.918,2019,17.69,5143,0,moraine,0,18.3256185511447
1241,M(o),90.276,27.906,2019,22.46,5160,0,moraine,0,102.38467166684964
1242,M(e),90.29,27.89,2019,114.2,5059,0,moraine,0,102.38467166684964
1243,M(o),90.298,27.883,2019,15.99,5116,0,moraine,0,102.38467166684964
1244,M(o),90.28,27.876,2019,24.66,5038,0,moraine,0,102.38467166684964
1245,M(e),90.303,27.872,2019,41.54,5033,0,moraine,0,95.00393207379352
1246,M(e),90.295,27.861,2019,18.64,4959,0,moraine,0,39.29365276454783
1247,M(o),90.333,27.849,2019,13.41,5050,0,moraine,0,12.22740331032488
1248,E(o),90.302,27.846,2019,19.16,4902,0,other,0,25.56323076276554
1249,E(o),90.272,27.819,2019,21.42,4898,0,other,0,14.692800925392445
1250,E(c),90.394,27.819,2019,12.12,4764,0,other,0,9.05464029548624
1251,E(o),90.363,27.814,2019,11.15,4776,0,other,0,6.830474834487008
1252,E(o),90.254,27.813,2019,11.48,4815,0,other,0,39.55830089068271
1253,E(c),90.406,27.81,2019,33.42,4701,0,other,0,9.05464029548624
1254,E(c),90.398,27.803,2019,11.36,4825,0,other,0,9.05464029548624
1255,E(c),90.409,27.792,2019,14.6,4759,0,other,0,9.05464029548624
1256,E(c),90.398,27.792,2019,10.94,4826,0,other,0,9.05464029548624
1257,E(c),90.421,27.792,2019,27.76,4527,0,other,0,9.05464029548624
1258,E(o),90.442,27.781,2019,12.78,4563,0,other,0,7.467491214507192
1259,E(c),90.4,27.78,2019,11.02,4532,0,other,0,7.707243481555924
1260,E(c),90.416,27.77,2019,25.82,4689,0,other,0,7.707243481555924
1261,E(c),90.298,27.756,2019,10.83,4630,0,other,0,8.583981949021767
1262,E(o),90.293,27.749,2019,17.2,4569,0,other,0,8.583981949021767
1263,E(c),90.296,27.738,2019,10.21,4389,0,other,0,8.583981949021767
1264,E(c),90.326,27.72,2019,30.88,4231,0,other,0,20.588624971222078
1265,E(o),90.29,27.716,2019,15.98,4322,0,other,0,8.583981949021767
1266,E(o),90.592,27.997,2019,11.39,5103,0,other,0,22.99460054078341
1267,M(e),90.505,27.987,2019,18.16,5199,0,moraine,0,23.55439772111085
1268,M(e),90.594,27.983,2019,12.14,5028,0,moraine,0,22.99460054078341
1269,E(o),90.508,27.972,2019,25.0,5101,0,other,0,23.55439772111085
1270,E(o),90.743,27.944,2019,11.2,4848,0,other,0,18.80133334133753
1271,E(c),90.535,27.939,2019,59.94,5036,0,other,0,50.93149943426224
1272,E(o),90.555,27.925,2019,29.18,4774,0,other,0,50.93149943426224
1273,E(o),90.503,27.921,2019,13.38,5082,0,other,0,8.96600650327743
1274,E(c),90.537,27.919,2019,38.13,4935,0,other,0,50.85217411476341
1275,M(o),90.559,27.915,2019,11.08,4939,0,moraine,0,25.470275543091912
1276,E(c),90.552,27.895,2019,24.13,4977,0,other,0,22.063349001422498
1277,E(o),90.598,27.895,2019,12.32,4640,0,other,0,7.144096766766037
1278,E(o),90.712,27.884,2019,12.81,4875,0,other,0,8.651686633492835
1279,E(o),90.566,27.881,2019,18.83,4666,0,other,0,22.063349001422498
1280,E(o),90.571,27.878,2019,23.37,4664,0,other,0,47.79256555864633
1281,E(o),90.581,27.876,2019,16.89,4599,0,other,0,58.9070300672209
1282,E(o),90.591,27.861,2019,74.98,4770,0,other,0,58.9070300672209
1283,E(o),90.74,27.857,2019,11.88,4406,0,other,0,3.9695833158875997
1284,E(o),90.618,27.844,2019,12.54,4767,0,other,0,8.732823517746127
1285,E(o),90.701,27.827,2019,10.37,4363,0,other,0,0.5557738216669929
1286,E(c),90.577,27.805,2019,10.11,4704,0,other,0,3.018471081893558
1287,E(o),90.585,27.803,2019,10.15,4647,0,other,0,3.018471081893558
1288,E(c),90.62,27.798,2019,18.31,4574,0,other,0,30.027404755193373
1289,E(c),90.634,27.796,2019,40.52,4462,0,other,0,30.027404755193373
1290,E(o),90.646,27.787,2019,26.59,4550,0,other,0,30.027404755193373
1291,E(o),90.625,27.765,2019,10.8,4338,0,other,0,2.5427408077760454
1292,E(o),90.636,27.764,2019,12.42,4614,0,other,0,2.5427408077760454
1293,E(c),90.624,27.757,2019,12.45,4410,0,other,0,2.5427408077760454
1294,M(o),90.756,27.942,2019,16.41,5031,0,moraine,0,26.414726883100922
