S.No.,Latitude,Longitude,Subbasin,GL type,Area(ha),Elev(m)
323,31.26,78.255,Yamuna,E(c),15.1,"4,403"
324,30.746,78.987,Bhagirathi,M(e),25.56,"4,734"
325,30.976,79.46,Alaknanda,M(e),17.02,"5,537"
326,30.904,79.747,Alaknanda,I(s),11.05,"4,683"
327,30.901,79.746,Alaknanda,I(s),11.41,"4,689"
328,30.901,79.754,Alaknanda,M(e),22.04,"4,677"
329,30.565,80.179,Sarda,M(e),17.81,"4,872"
330,30.446,80.387,Sarda,M(e),10,"4,306"
331,30.392,80.532,Sarda,M(e),11.21,"4,753"
332,30.402,80.784,Humla,M(e),43.35,"5,088"
333,30.347,80.886,Humla,E(o),12.47,"5,253"
334,30.424,81.33,Humla,M(o),12.68,"5,807"
335,30.417,81.427,Humla,O,17.88,"5,496"
336,30.405,81.427,Humla,O,11.18,"5,472"
337,30.378,81.421,Humla,E(o),25.56,"5,659"
338,30.364,81.376,Humla,E(o),10.33,"5,756"
339,30.343,81.413,Humla,E(o),30.39,"5,734"
340,30.322,81.376,Humla,M(e),13.96,"5,542"
341,30.319,81.445,Humla,M(o),12.2,"5,497"
342,30.312,81.409,Humla,M(e),13.27,"5,634"
343,30.302,81.399,Humla,M(e),11.68,"5,580"
344,30.297,81.388,Humla,M(e),26.15,"5,516"
345,30.266,81.349,Humla,M(e),20.37,"5,207"
346,30.233,81.35,Humla,M(e),26.79,"5,297"
347,30.254,81.689,Humla,O,27.78,"4,264"
348,30.378,81.574,Humla,O,22.49,"5,097"
349,30.328,81.512,Humla,E(o),12.27,"5,221"
350,30.284,81.574,Humla,E(o),14.32,"5,077"
351,30.162,81.748,Humla,M(o),16.11,"5,046"
352,30.14,81.685,Humla,M(o),21.34,"4,655"
353,30.346,81.861,Humla,M(e),15.56,"5,431"
354,30.345,81.831,Humla,M(o),10.48,"5,520"
355,30.338,81.913,Humla,M(o),28.2,"5,135"
356,30.336,81.92,Humla,M(e),10.09,"5,130"
357,30.324,81.833,Humla,M(e),11.65,"5,571"
358,30.313,81.876,Humla,M(e),10.69,"5,546"
359,30.307,81.866,Humla,M(e),10.94,"5,492"
360,30.216,81.802,Humla,M(e),19.31,"5,343"
361,30.214,81.758,Humla,M(e),12.12,"5,368"
362,30.204,81.878,Humla,M(e),12.66,"5,518"
363,30.129,81.781,Humla,M(e),75.65,"5,015"
364,30.059,81.955,Humla,O,11.43,"4,440"
365,30.057,81.941,Humla,M(e),13.87,"4,564"
366,29.921,81.031,West Seti,M(e),18.61,"4,821"
367,29.936,81.674,Kawari,E(o),11.23,"4,569"
368,29.898,81.747,Kawari,E(o),12.9,"4,692"
369,29.898,81.578,Kawari,M(e),28.51,"3,581"
370,29.773,81.527,West Seti,M(e),49.99,"4,576"
371,29.648,81.556,Karnal,E(c),11.64,"4,551"
372,29.61,81.544,Karnal,E(c),13.28,"4,467"
373,30.149,82.161,Humla,M(l),16.65,"4,994"
374,30.067,82.127,Humla,M(l),62.33,"4,829"
375,29.993,82.197,Humla,M(l),24.67,"4,379"
376,29.971,82.25,Humla,E(c),17.27,"4,881"
377,29.935,82.208,Humla,E(c),12.01,"4,562"
378,29.929,82.207,Humla,E(c),32.97,"4,550"
379,29.928,82.235,Humla,O,12.27,"4,236"
380,29.702,82.245,Humla,M(o),10.53,"4,671"
381,29.675,82.193,Humla,M(o),15.17,"4,223"
382,29.669,82.222,Humla,E(o),11.34,"4,577"
383,29.668,82.194,Humla,E(o),12.67,"4,379"
384,29.666,82.203,Humla,E(c),19.44,"4,388"
385,29.654,82.223,Mugu,E(o),13.57,"4,492"
386,29.116,82.236,Tila,E(o),10.84,"4,270"
387,29.084,82.186,Tila,E(o),11.01,"4,242"
388,29.878,82.383,Humla,M(o),12.59,"4,967"
389,29.754,82.415,Mugu,E(c),42.4,"4,692"
390,29.714,82.25,Humla,M(l),11.54,"4,651"
391,29.698,82.373,Mugu,M(o),13.27,"4,842"
392,29.432,82.361,Tila,E(o),27.07,"4,398"
