ID,Major_RGI_Region,Mountain_range_Region,Country,Glacier,RGI_Glacier_Id,RGI_Glacier_Area,Lake,Lake_type,Longitude,Latitude,River,Date,Date_Min,Date_Max,Mechanism,Mean_Lake_Volume_VL,Min_VL,Max_VL,VL_calculation,Mean_Flood_Volume_V0,Min_V0,Max_V0,V0_calculation,Peak_discharge_Qp,Min_Qp,Max_Qp,Qp_calculation,Impact_and_destruction,reported_impacts,economic_losses,D_buildings,D_bridges,D_roads_paths,D_railroads,D_utilities,D_flood_protection,D_environmental,resettlement,reported_fatalities,Further_comments,First_reference_found,Reference,Reference_comments,Lake_area_before,Perimeter_before,Image_date_before,Satellite_before,Scenename_before,Certainty_level_before,Lake_area_after,Perimeter_after,Image_date_after,Satellite_after,Scenename_after,Certainty_level_after,Lake_area_comments,,,,,,,,,,,,,,,,,,,,
running number (regionally),RGI region in which the GLOF occurred,Major mountain unit/range in which the GLOF was located,Source location of the GLOF,Name of the glacier that feeds the burst glacier lake,Glacier Id derived from RGI polygon,Glacier area derived from RGI polygon,Name of the outburst source lake,Material of the impounding dam,X coordinate,Y coordinate,Major river basin that captured GLOF discharge,Reported date of GLOF,Earliest possible date ,Latest possible date ,Mechanism that causes the dam to fail, Volume before outburst,Minimum reported lake volume ,Maximum reported lake volume,Method to obtain lake volumes before outburst,Total volume released during outburst,Minimum reported flood volume,Maximum reported flood volume,Method to obtain V0,Maximum discharge during outburst,Minimum reported peak discharge ,Maximum reported peak discharge ,Method to obtain Qp,Quantitative and qualitative descriptions of societal impacts from GLOFs,Reported impacts (categorized),Occurrence of economic losses,Damage to buildings,Damage to bridges,Damage to roads or paths,Damage to railroads,Damage to utilities,Damage to flood protection measures,Damage to the environment,Need for resettlement after the flood,Fatalities in consequence of the flood,Any other useful information,Year of first reference that cited the GLOF,References viewed to gather information,Comments on the reference,Lake area before outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,…)",lake area after outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,...)",Mapping notes and comments,,,,,,,,,,,,,,,,,,,,
,,e.g. Karakoram,e.g. Pakistan ,e.g. Baltoro Glacier,,km2,e.g. Baltoro Lake 1,"e.g ice, moraine, water pocket, bedrock, combined",XX.XX°,XX.XX°,e.g. Indus,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,"(e.g. overtopping, breach, tunnelling,  englacial,…)",106 m³,106 m³,106 m³,e.g. bathymetry,106 m³,106 m³,106 m³,gaged / estmated / unknown,m³ s-1,m³ s-1,m³ s-1,gaged / estmated / unknown,,,,,,,,(e.g. water or electricity supply),(e.g. levees),(e.g. fish population),,,,,,,m² ,m,YYYY-MM_DD,,,2 – sure,m²,m,YYYY-MM_DD,,,2 – sure,,,,,,,,,,,,,,,,,,,,,
29,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,10.92,,ice,-69.98,-33.12,Plomo,1934-01-11,,,,,,,,53.00,,,unknown,2700.00,,,unknown,The 1934 event resulted in more than 20 casualties and damages in infrastructure in order of 6 mil Argentinean pesos (1934 USD$ = ~1.8 mil) in a corridor of ~200 km,x,,,,,,,,,,,,1934,"Prieto, M. del R. (1986). The glacier dam on the Rio Plomo: a cyclic phenomenon?. Zeitschrift für Gletscherkunde und Glazialgeologie, 22(1), 73-78. & La Vanguardia. (1934). El desbordamiento del Mendoza. Sábado 13 de Enero de 1934; 26–27. CITED IN Iribarren Anacona et al. (2015): Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andest, EPSL, 40, 2-21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,10.92,,ice,-69.98,-33.12,Plomo,1934-01-16,,,,,,,,,,,,1350.00,,,unknown,,,,,,,,,,,,,,1935,"King, W. D. V. O. (1935). El aluvión del río Mendoza de Enero de 1934. La Ingeniería, 39, 309-314. & Harrison, W. D., Osipova, G. B., Nosenko, G. A., Espizua, L., Kääb, A., Fischer, L., ... & Lai, A. W. (2015). Glacier surges. In Snow and ice-related hazards, risks and disasters (pp. 437-485). Academic Press. & Correas-Gonzalez, M., Moreiras, S., Jomelli, V., & Arnaud-Fassetta, G. (2020). Ice-dammed lake outburst flood risk in the Plomo basin, Central Andes (33º S): Perspectives from historical events. Cuadernos de Investigación Geográfica, 46(1), 223-249. CITED IN Correas-Gonzalez, M., Moreiras, S. M., & Klimeš, J. (2020, November). Spatial Distribution of Lakes in the Central Andes (31°–36°), Argentina: Implications for Outburst Flood Hazard. In Workshop on World Landslide Forum (pp. 95-102). Springer, Cham.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1935,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1936,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,263.32,Lago Argentino,ice,-72.98,-50.50,Santa Cruz,1936,,,tunneling and collapse,,,,,,,,,,,,,,,,,,,,,,,,,,1994,"Warren, C. R. (1994). Freshwater calving and anomalous glacier oscillations: recent behaviour of Moreno and Ameghino Glaciers, Patagonia. The Holocene, 4(4), 422-429.; Guerrido, C. M., Villalba, R., & Rojas, F. (2014). Documentary and tree-ring evidence for a long-term interval without ice impoundments from Glaciar Perito Moreno, Patagonia, Argentina. The Holocene, 24(12), 1686-1693.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1937,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1938,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Low Latitudes,Low-latitude Andes,Peru,Pacllashcocha,RGI60-16.02383,2.14,Artesa,moraine,-77.52,-9.11,,1938-01-20,,,breach,,,,,0.53,0.25,0.80,estimated,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",1942,"Broggi, J. A. (1942). Informe preliminar sobre la exploracion y estudio de las condiciones de estabilidad de las lagunas de la Cordillera Blanca. ELECTROPERU SA, Lima (Peru). & Lliboutry, L., Arnao, B. M., Pautre, A., & Schneider, B. (1977). Glaciological problems set by the control of dangerous lakes in Cordillera Blanca, Peru. I. Historical failures of morainic dams, their causes and prevention. Journal of Glaciology, 18(79), 239-254. & UGRH (2013). Registro historico de aluviones y avalanchas. Autoridad Nacional del Agua (ANA), Unidad de Glaciología y Recursos Hídricos (UGRH), Huaraz (Peru) & O'Connor, J. E., Hardison, J. H., & Costa, J. E. (2001). Debris flows from failures of Neoglacial-age moraine dams in the Three Sisters and Mount Jefferson Wilderness areas, Oregon (No. 1606). US Department of the Interior, US Geological Survey. CITED IN Emmer, A. (2017). Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru. Quaternary Science Reviews, 177, 220-234.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1939,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02367,RGI60-16.02367,0.47,Unnamed (Q. Ulta),moraine,-77.51,-9.12,,1939-04,,,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2001,"O'Connor, J. E., Hardison, J. H., & Costa, J. E. (2001). Debris flows from failures of Neoglacial-age moraine dams in the Three Sisters and Mount Jefferson Wilderness areas, Oregon (No. 1606). US Department of the Interior, US Geological Survey. CITED IN Emmer, A. (2017). Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru. Quaternary Science Reviews, 177, 220-234.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1940,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,263.32,Lago Argentino,ice,-72.98,-50.50,Santa Cruz,1940,,,tunneling and collapse,,,,,,,,,,,,,,,,,,,,,,,,,,1994,"Warren, C. R. (1994). Freshwater calving and anomalous glacier oscillations: recent behaviour of Moreno and Ameghino Glaciers, Patagonia. The Holocene, 4(4), 422-429.; Guerrido, C. M., Villalba, R., & Rojas, F. (2014). Documentary and tree-ring evidence for a long-term interval without ice impoundments from Glaciar Perito Moreno, Patagonia, Argentina. The Holocene, 24(12), 1686-1693.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1941,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01876,RGI60-16.01876,1.16,Rurigallay,moraine,-76.91,-10.32,,1941-04-20,,,breach,,,,,,,,,,,,,"Several deaths, bridges and paths destroyed",x,,,x,x,,,,,,x,partial drainage,1954,"Kinzl, H.; Schneider, E.; Awerzger, A. Cordillera Huayhuash, Perú—Ein Bildwerk über ein Tropisches Hochgebirge; Verlag Tiroler Graphik: Innsbruck, Austria, 1954; p. 42 CITED IN Current Susceptibility, Water,12, 2664; doi:10.3390/w12102666; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Low Latitudes,Low-latitude Andes,Peru,Palcaraju,RGI60-16.02263,6.28,"Broggi, J. A. (1942). Informe preliminar sobre la exploracion y estudio de las condiciones de estabilidad de las lagunas de la Cordillera Blanca. ELECTROPERU SA, Lima (Peru). & Oppenheim, V. (1946). Sobre las lagunas de Huaráz. Boletín de la Sociedad geológica del Perú, 19, 68-80. & Zapata L, M. (2002). La dinamica glaciar en lagunas de la Cordillera Blanca. Acta Montana, 123, 37-60. CITED IN Emmer, A. (2017). Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru. Quaternary Science Reviews, 177, 220-234.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",moraine,-77.38,-9.39,,1941-12-13,,,breach,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",1942,"Broggi, J. A. (1942). Informe preliminar sobre la exploracion y estudio de las condiciones de estabilidad de las lagunas de la Cordillera Blanca. ELECTROPERU SA, Lima (Peru). & Oppenheim, V. (1946). Sobre las lagunas de Huaráz. Boletín de la Sociedad geológica del Perú, 19, 68-80. & Zapata L, M. (2002). La dinamica glaciar en lagunas de la Cordillera Blanca. Acta Montana, 123, 37-60. CITED IN Emmer, A. (2017). Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru. Quaternary Science Reviews, 177, 220-234.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00332,﻿RGI60-16.00332,"﻿3,080",,moraine,-72.08,-13.22,,1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete drainage,2010,"INGEMMET (2010) CITED IN Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1942,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,263.32,Lago Argentino,ice,-72.98,-50.50,Santa Cruz,1942,,,tunneling and collapse,,,,,,,,,,,,,,,,,,,,,,,,,,1994,"Warren, C. R. (1994). Freshwater calving and anomalous glacier oscillations: recent behaviour of Moreno and Ameghino Glaciers, Patagonia. The Holocene, 4(4), 422-429.; Guerrido, C. M., Villalba, R., & Rojas, F. (2014). Documentary and tree-ring evidence for a long-term interval without ice impoundments from Glaciar Perito Moreno, Patagonia, Argentina. The Holocene, 24(12), 1686-1693.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Southern Andes,C Andes,Argentina,Frías,RGI60-17.12375,7.34,,moraine,-71.80,-41.13,,,1942,1953,,,,,,,,,,,,,,No damages reported,,,,,,,,,,,,"Complete lake emptying. Event occurred far from populated areas, no damages reported.",1979,"Rabassa, J., Rubulis, S., & Suárez, J. (1979). Rate of formation and sedimentology of (1976–1978) push-moraines, Frías Glacier, Mount Tronador (41 10′ S; 71 53′ W), Argentina. In Moraines and varves (pp. 65-79). Balkema Rotterdam. CITED IN Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1943,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1944,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Southern Andes,Patagonia,Chile,Lucia Glacier,﻿RGI60-17.06008,"﻿164,109",Bergues Lake,moraine,-73.28,-48.32,Pascua,1945,,,,,,,,256,,,unknown,,,,,,,,,,,,,,,,,,2021,"Piret, L., Bertrand, S., Nguyen, N., Hawkings, J., Rodrigo, C., & Wadham, J. (2021). Long-lasting impacts of a glacial lake outburst flood on the hydrology of a fjord-river system (Pascua River, Chilean Patagonia), EGU General Assembly 2021, online, 19–30 Apr 2021, EGU21-4193, https://doi.org/10.5194/egusphere-egu21-4193.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1945,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02457,RGI60-16.02457,4.47,Chacrucocha,moraine,-77.65,-8.99,,1945,,,breach,,,,,0.30,,,unknown,,,,,,,,,,,,,,,,,complete drainage,1977,"Lliboutry, L., Arnao, B. M., Pautre, A., & Schneider, B. (1977). Glaciological problems set by the control of dangerous lakes in Cordillera Blanca, Peru. I. Historical failures of morainic dams, their causes and prevention. Journal of Glaciology, 18(79), 239-254. & O'Connor, J. E., Hardison, J. H., & Costa, J. E. (2001). Debris flows from failures of Neoglacial-age moraine dams in the Three Sisters and Mount Jefferson Wilderness areas, Oregon (No. 1606). US Department of the Interior, US Geological Survey. CITED IN Emmer, A. (2017). Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru. Quaternary Science Reviews, 177, 220-234.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Low Latitudes,Low-latitude Andes,Peru,Huantsan,RGI60-16.02260,2.77,Ayhuinyaraju,moraine,-77.29,-9.51,,1945-01-17,,,breach,,,,,,,,,,,,,,,,,,,,,,,,,"complete drainage; triggers: landslides, rockfalls and debris flows",1947,"Indacochea, G., Angel, J., & Mariano Iberico, M. (1947). Aluvionamiento de Chavín de Huantar el 17 de Enero de 1945. Boletin de la Sociedad Geologica del Peru, 20, 21-28. & Spann, H. J. (1947). Informe sobre el origen de la catástrofe de Chavín de Huantar. Boletin de la Sociedad Geologica del Peru, 20, 29-33. & Zapata L, M. (2002). La dinamica glaciar en lagunas de la Cordillera Blanca. Acta Montana, 123, 37-60. & UGRH (2013). Registro historico de aluviones y avalanchas. Autoridad Nacional del Agua (ANA), Unidad de Glaciología y Recursos Hídricos (UGRH), Huaraz (Peru). CITED IN Emmer, A. (2017). Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru. Quaternary Science Reviews, 177, 220-234.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1946,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Southern Andes,Patagonia,Chile,Hernando Lamero,RGI60-17.04837,76.82,,ice,-73.55,-51.31,,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,"Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1947,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,263.32,Lago Argentino,ice,-72.98,-50.50,Santa Cruz,1947,,,tunneling and collapse,,,,,,,,,,,,,,,,,,,,,,,,,,1994,"Warren, C. R. (1994). Freshwater calving and anomalous glacier oscillations: recent behaviour of Moreno and Ameghino Glaciers, Patagonia. The Holocene, 4(4), 422-429.; Guerrido, C. M., Villalba, R., & Rojas, F. (2014). Documentary and tree-ring evidence for a long-term interval without ice impoundments from Glaciar Perito Moreno, Patagonia, Argentina. The Holocene, 24(12), 1686-1693.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02207,﻿RGI60-16.02207,"﻿6,606",,moraine,-77.36,-9.49,,,,1948,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02197,﻿RGI60-16.02197,"﻿1,464",,moraine,-77.35,-9.41,,,,1948,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02262,﻿RGI60-16.02262,"﻿4,231",,moraine,-77.29,-9.38,,,,1948,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02457,﻿RGI60-16.02457,"﻿4,473",,moraine,-77.64,-8.99,,,,1948,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02452,﻿RGI60-16.02452,"﻿0,413",,moraine,-77.69,-8.99,,,,1948,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,complete drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02448,﻿RGI60-16.02448,"﻿0,528",,moraine,-77.68,-8.98,,,,1948,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,complete drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02309,﻿RGI60-16.02309,"﻿1,744",,moraine,-77.49,-9.20,,,,1948,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02183,﻿RGI60-16.02183,"﻿1,789",,moraine,-77.32,-9.45,,,,1948,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
