10y_expansion_rate,5y_expansion_rate,Elevation_m,GLOF,Lake_area_calculated_ha,Lake_type_simplified,Latitude,Longitude,Year_final,__source__,glacier_area_ha,glacier_contact,glacier_elev_m,glacier_touch_count,is_supraglacial,lake_area_filled_from_db,nearest_glacier_dist_m,slope_glac_to_lake
-47.25758783941822,,3269,1,2.660115178646293,ice,42.207,79.846,2008,pos,15.30288523289357,0,3939.0,0,0,False,730.4281550686966,0.8296503849074737
-14.96468777411863,,3893,1,3.1389946298207425,moraine,41.941,77.017,2008,pos,411.9674860615904,1,3887.0,2,0,False,0.0,0.0
0.6799151880331565,-0.0787858772856855,4181,1,4.74310668536486,other,28.323,97.835,2008,pos,2.8687833282970057,0,4361.0,0,0,False,1034.6463560826603,0.2010348741646584
-36.413803743593625,,3269,1,18.69417542859816,ice,42.207,79.846,2009,pos,37334.18715891103,0,4369.0,0,0,False,43.63108321069786,25.37182023774683
-4.956982733012844,-0.2720921135168901,4414,1,0.8596846222362232,other,37.094,71.637,2009,pos,22.073896283016634,0,4739.0,0,0,False,63.34384612223799,4.009860713380786
,,2648,1,,other,36.043,74.571,2009,pos,7831.738632457032,1,3325.0,2,0,False,0.0,0.0
-5.955137597550065,,3090,1,0.361304071158535,other,36.428,74.806,2009,pos,3058.7395123229167,0,4647.0,0,0,False,459.1785108719767,1.705219171761955
0.9505734435831098,0.823830066879809,4268,1,5.30727775284766,ice,28.101,90.164,2009,pos,11985.498857222092,1,4479.0,3,1,False,0.0,0.0
0.8996722934824183,,5363,1,10.858059427184449,ice,30.267,81.474,2009,pos,3563.976508692848,1,5306.0,4,1,False,0.0,0.0
0.0719188449823054,,3363,1,0.6473043636797607,ice,36.784,74.004,2009,pos,1180.3473959088044,0,4077.0,0,0,False,197.21054905855655,3.671203206198807
-38.15076484557024,,4779,1,0.0729635463107982,ice,35.677,77.193,2009,pos,27626.56738116892,1,5653.0,3,0,False,0.0,0.0
-1.742288322413201,0.3702197369073625,4760,1,9.25545604365834,moraine,30.83,94.0,2009,pos,228.95798326357772,0,5331.0,0,0,False,159.53602008571974,4.03670594047648
