,Unnamed: 0,GLOF,Latitude,Longitude,Year_final,area_t2,area_t1,expansion_ha_peryr,glacier_area_ha,slope_glac_to_lake,glacier_contact,glacier_touch_count,nearest_glacier_dist_m,glacier_elev_m
212,194,1,27.906,86.891,2016,50.63652609478478,31.823981925933413,3.762508833770273,1912.5871004720802,0.0,1,3,0.0,5679.0
213,195,1,35.677,77.193,2016,52.09033256213909,,,27626.56738116892,0.0,1,1,0.0,4919.0
214,195,1,35.677,77.193,2016,52.09033256213909,,,27626.56738116892,0.0,1,1,0.0,4919.0
215,196,1,28.078,86.064,2016,46.97598371532999,40.25408717527805,1.3443793080103874,1702.383622773496,0.0,1,4,0.0,5581.0
216,197,1,35.677,77.193,2016,52.09033256213909,,,27626.56738116892,0.0,1,1,0.0,4919.0
217,197,1,35.677,77.193,2016,52.09033256213909,,,27626.56738116892,0.0,1,1,0.0,4919.0
218,198,1,27.813,87.139,2017,56.5415149879333,15.405875582437227,8.227127881099213,956.341501584254,0.0,1,4,0.0,5334.0
219,199,1,42.207,79.846,2017,288.165018877718,5.188979638237347,56.595207847896134,413.9754463270959,0.0,1,4,0.0,4063.0
220,200,1,27.989,86.811,2017,28.70892088315636,9.27690513629598,3.886403149372076,15584.829400858825,0.0,1,2,0.0,5195.0
221,201,1,36.342,75.479,2017,6.797266876391491,,,12114.925020240149,0.8802778822899348,0,0,1006.5003538373359,4296.0
222,202,1,34.588,76.733,2017,19.587741210502937,,,3.9411656716615195,0.0,1,1,0.0,5063.0
223,203,1,42.4,74.7,2017,5.3045697684676805,,,149.1353804666383,0.0,1,1,0.0,4123.0
224,204,1,35.677,77.193,2017,14.371834266288213,,,27626.56738116892,0.0,1,1,0.0,4899.0
225,205,1,36.342,75.479,2018,8.677971344568109,,,16.418900058028726,-0.5484648729423303,0,0,1186.9493054452205,4883.0
226,205,1,36.342,75.479,2018,8.677971344568109,,,16.418900058028726,-0.5484648729423303,0,0,1186.9493054452205,4883.0
227,205,1,36.342,75.479,2018,8.677971344568109,,,16.418900058028726,-0.5484648729423303,0,0,1186.9493054452205,4883.0
