Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial
E(c),74.083,35.817,2019,16.71,4269,0,other,0
E(o),74.205,35.779,2019,12.36,4304,0,other,0
E(c),74.196,35.773,2019,11.01,4368,0,other,0
E(o),74.243,35.707,2019,15.89,4318,0,other,0
E(o),74.23,35.686,2019,14.12,4336,0,other,0
E(c),74.177,35.073,2019,11.97,4042,0,other,0
E(c),74.294,35.821,2019,12.04,4313,0,other,0
E(o),74.256,35.722,2019,10.77,4254,0,other,0
E(o),74.676,35.4,2019,13.97,3386,0,other,0
E(o),74.941,35.332,2019,11.74,4427,0,other,0
M(l),74.786,35.33,2019,15.07,3475,0,moraine,0
M(e),74.937,35.315,2019,20.13,4197,0,moraine,0
E(o),74.961,35.082,2019,30.64,4317,0,other,0
E(o),74.958,35.075,2019,10.45,4413,0,other,0
E(o),74.1,34.962,2019,29.65,3603,0,other,0
E(c),74.138,34.948,2019,20.03,4011,0,other,0
E(c),74.155,34.926,2019,21.64,3926,0,other,0
E(c),74.048,34.902,2019,21.58,3896,0,other,0
E(c),74.077,34.858,2019,20.51,3680,0,other,0
E(c),74.062,34.829,2019,93.9,3681,0,other,0
E(c),74.477,34.876,2019,12.31,3592,0,other,0
M(e),74.521,34.92,2019,60.6,4041,0,moraine,0
E(c),74.68,34.908,2019,23.48,3864,0,other,0
E(c),74.523,34.849,2019,22.54,4016,0,other,0
E(c),74.676,34.84,2019,10.66,3868,0,other,0
E(o),74.787,34.846,2019,14.18,3883,0,other,0
E(c),74.809,34.845,2019,50.44,3992,0,other,0
E(c),74.761,34.84,2019,25.43,3979,0,other,0
E(c),74.819,34.548,2019,31.47,3872,0,other,0
E(c),74.828,34.537,2019,30.51,3922,0,other,0
E(o),74.921,34.493,2019,38.39,3881,0,other,0
E(c),74.906,34.489,2019,11.89,4097,0,other,0
E(o),74.913,34.47,2019,10.44,3852,0,other,0
M(o),74.985,34.457,2019,10.33,3748,0,moraine,0
E(o),74.932,34.452,2019,12.3,3889,0,other,0
E(c),74.909,34.448,2019,15.48,3979,0,other,0
E(c),74.892,34.444,2019,33.95,3846,0,other,0
E(c),74.924,34.432,2019,161.04,3571,0,other,0
E(o),74.936,34.418,2019,36.65,3503,0,other,0
E(o),74.874,34.392,2019,27.31,3556,0,other,0
E(c),74.944,34.385,2019,11.22,3722,0,other,0
E(o),74.876,34.38,2019,11.58,3738,0,other,0
E(c),74.417,33.866,2019,13.62,3968,0,other,0
E(o),74.428,33.841,2019,45.46,3954,0,other,0
E(o),74.435,33.829,2019,15.18,4043,0,other,0
E(c),74.451,33.82,2019,29.43,3997,0,other,0
E(o),74.526,33.74,2019,10.16,4018,0,other,0
E(o),74.523,33.735,2019,13.69,4064,0,other,0
E(o),74.526,33.559,2019,22.97,3851,0,other,0
E(o),74.543,33.55,2019,16.04,3912,0,other,0
E(o),74.523,33.54,2019,10.32,3812,0,other,0
E(o),74.565,33.54,2019,21.73,3967,0,other,0
E(o),74.555,33.536,2019,31.85,4006,0,other,0
E(o),74.574,33.53,2019,12.27,3955,0,other,0
E(c),74.561,33.528,2019,11.15,4096,0,other,0
E(o),74.605,33.522,2019,12.33,3844,0,other,0
E(o),74.584,33.519,2019,70.83,3934,0,other,0
E(o),74.564,33.51,2019,25.15,3909,0,other,0
E(o),74.625,33.509,2019,33.7,3937,0,other,0
E(c),74.594,33.505,2019,11.35,4089,0,other,0
E(o),74.565,33.496,2019,11.18,3812,0,other,0
E(c),74.614,33.444,2019,14.88,3580,0,other,0
O,74.769,33.512,2019,128.54,3486,0,other,0
E(o),74.85,33.503,2019,14.64,3623,0,other,0
E(o),75.194,35.264,2019,19.03,4551,0,other,0
E(o),75.182,35.231,2019,11.26,4547,0,other,0
E(o),75.228,35.119,2019,17.81,4586,0,other,0
E(c),75.198,35.049,2019,12.71,4398,0,other,0
E(o),75.001,35.016,2019,10.87,3931,0,other,0
E(o),75.422,35.182,2019,14.33,4530,0,other,0
E(o),75.261,35.143,2019,11.84,4659,0,other,0
E(o),75.321,35.132,2019,19.58,4526,0,other,0
E(o),75.521,35.172,2019,10.3,4551,0,other,0
E(o),75.579,35.096,2019,10.98,4375,0,other,0
E(o),75.725,35.027,2019,12.92,4647,0,other,0
O,75.236,34.991,2019,129.62,4138,0,other,0
E(c),75.051,34.972,2019,14.29,4265,0,other,0
E(o),75.25,34.922,2019,14.22,4152,0,other,0
E(o),75.177,34.92,2019,14.54,4257,0,other,0
E(o),75.189,34.919,2019,14.34,4225,0,other,0
E(o),75.137,34.697,2019,64.95,4103,0,other,0
E(o),75.14,34.684,2019,21.41,4133,0,other,0
E(o),75.179,34.666,2019,74.54,4234,0,other,0
E(c),75.058,34.422,2019,40.12,3570,0,other,0
E(c),75.103,34.397,2019,29.55,3812,0,other,0
E(c),75.119,34.388,2019,47.25,3663,0,other,0
E(o),75.147,34.207,2019,10.35,3699,0,other,0
E(o),75.205,34.203,2019,15.92,3682,0,other,0
E(o),75.113,34.156,2019,10.27,3941,0,other,0
E(o),75.11,34.144,2019,43.47,3810,0,other,0
E(c),75.148,34.14,2019,82.93,3780,0,other,0
E(o),75.161,34.093,2019,17.8,3919,0,other,0
E(o),75.216,34.063,2019,13.36,3691,0,other,0
E(c),75.382,34.825,2019,22.94,4315,0,other,0
E(o),75.48,34.775,2019,10.8,4626,0,other,0
E(o),75.275,34.234,2019,18.23,3830,0,other,0
E(c),75.321,34.193,2019,10.81,3734,0,other,0
E(c),75.373,34.184,2019,16.8,4276,0,other,0
E(o),75.377,34.139,2019,33.45,3709,0,other,0
O,75.498,34.094,2019,52.27,3575,0,other,0
E(o),75.475,34.067,2019,17.85,3724,0,other,0
E(o),75.553,34.987,2019,17.86,4269,0,other,0
E(o),75.545,34.965,2019,13.7,4412,0,other,0
E(o),75.592,34.947,2019,24.89,4558,0,other,0
E(o),75.617,34.896,2019,11.97,4547,0,other,0
E(o),75.713,34.893,2019,19.39,4589,0,other,0
E(o),75.68,34.883,2019,13.31,4627,0,other,0
E(o),75.716,34.873,2019,15.83,4664,0,other,0
E(o),75.545,34.808,2019,12.86,4687,0,other,0
E(o),75.649,34.491,2019,15.37,4521,0,other,0
E(o),75.763,34.947,2019,25.14,4778,0,other,0
E(o),75.892,34.888,2019,10.29,4882,0,other,0
E(o),75.871,34.878,2019,18.96,4687,0,other,0
E(o),75.942,34.859,2019,13.73,4796,0,other,0
M(e),75.844,34.04,2019,25.26,4094,0,moraine,0
E(o),75.378,33.953,2019,15.37,3644,0,other,0
E(c),75.411,33.952,2019,26.79,4082,0,other,0
E(c),75.389,33.929,2019,19.34,4048,0,other,0
E(o),75.47,33.754,2019,10.88,3921,0,other,0
E(c),75.537,33.619,2019,10.85,3852,0,other,0
M(l),76.03,35.954,2019,10.62,4276,0,moraine,0
O,76.205,35.171,2019,30.72,3301,0,other,0
E(o),76.234,35.097,2019,22.96,4512,0,other,0
M(l),76.41,35.73,2019,13.28,4161,0,moraine,0
M(l),76.375,35.72,2019,12.14,4140,0,moraine,0
M(e),76.252,35.092,2019,24.01,4533,0,moraine,0
E(c),76.293,35.074,2019,12.08,4599,0,other,0
E(o),76.261,35.056,2019,16.89,4881,0,other,0
E(o),76.32,35.011,2019,15.36,4753,0,other,0
M(e),76.075,34.351,2019,10.63,4435,0,moraine,0
E(o),76.383,34.854,2019,13.61,4688,0,other,0
E(o),76.368,34.854,2019,13.27,4821,0,other,0
E(o),76.352,34.833,2019,10.34,4818,0,other,0
E(o),76.456,34.827,2019,19.82,4648,0,other,0
E(o),76.409,34.818,2019,10.2,4816,0,other,0
E(o),76.5,34.772,2019,10.53,4761,0,other,0
E(o),76.469,34.762,2019,17.67,4895,0,other,0
E(o),76.517,34.813,2019,20.6,4771,0,other,0
E(o),76.502,34.811,2019,12.91,4762,0,other,0
E(o),76.711,34.765,2019,10.06,5123,0,other,0
M(e),76.718,34.051,2019,15.8,5093,0,moraine,0
M(e),76.721,34.005,2019,18.32,5050,0,moraine,0
E(o),76.758,34.671,2019,29.88,4965,0,other,0
M(e),76.788,34.006,2019,14.15,5126,0,moraine,0
M(e),76.23,33.945,2019,49.66,4357,0,moraine,0
M(e),76.019,33.942,2019,24.05,4197,0,moraine,0
M(e),76.121,33.868,2019,39.44,4071,0,moraine,0
M(e),76.375,33.844,2019,18.49,4116,0,moraine,0
O,76.45,33.507,2019,16.41,4219,0,other,0
M(e),76.984,33.159,2019,59.78,4479,0,moraine,0
E(o),76.332,32.336,2019,25.65,3971,0,other,0
M(lg),77.513,35.476,2019,21.93,5342,0,moraine,0
M(l),77.7,35.032,2019,18.02,5161,0,moraine,0
O,77.856,35.06,2019,32.78,4679,0,other,0
M(e),77.616,34.905,2019,14.51,5125,0,moraine,0
M(e),77.983,34.398,2019,28.02,5344,0,moraine,0
O,77.664,33.556,2019,10.15,5222,0,other,0
O,77.979,33.999,2019,43.72,4991,0,other,0
M(e),77.22,32.526,2019,77.59,4069,0,moraine,0
M(e),77.547,32.499,2019,128.69,4150,0,moraine,0
E(o),77.615,32.483,2019,47.3,4276,0,other,0
M(e),78.09,34.521,2019,10.62,5270,0,moraine,0
M(e),78.101,34.52,2019,10.28,5265,0,moraine,0
M(o),78.136,34.457,2019,95.68,5295,0,moraine,0
M(e),78.143,34.446,2019,20.53,5311,0,moraine,0
M(e),78.079,34.401,2019,20.39,5307,0,moraine,0
E(o),78.089,34.39,2019,11.16,5226,0,other,0
O,78.426,34.233,2019,64.78,5350,0,other,0
E(o),78.516,34.2,2019,24.44,5386,0,other,0
