,Unnamed: 0,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,area_t1,area_t2,expansion_ha_peryr
779,779,E(o),89.354,29.563,2019,10.26,5427,0,other,0,7.732749854275134,7.1078771588044445,7.73274985427597,0.12497453909430511
780,780,E(o),89.592,29.887,2019,10.01,5407,0,other,0,36.519833943692426,34.495291164091725,36.519833943699304,0.40490855592151576
781,781,E(o),89.596,29.873,2019,39.71,5342,0,other,0,36.519833943692426,34.495291164091725,36.519833943699304,0.40490855592151576
782,782,E(o),89.718,29.843,2019,13.6,5296,0,other,0,11.294105245494316,8.256370310123252,11.294105245591156,0.6075469870935809
783,783,E(o),89.882,29.509,2019,11.9,5420,0,other,0,10.317856906408608,8.05107199940091,10.317856954366015,0.45335699099302074
784,784,E(o),89.831,29.495,2019,13.37,5493,0,other,0,11.098766729735132,10.786122336484882,11.09876672973104,0.0625288786492316
785,785,E(o),89.867,29.489,2019,13.26,5478,0,other,0,10.317856906408608,8.05107199940091,10.317856954366015,0.45335699099302074
786,786,M(o),89.932,29.477,2019,13.27,5408,0,moraine,0,10.70994654776652,7.661120960728315,10.709946536984537,0.6097651152512444
787,787,M(e),90.063,29.912,2019,36.3,5131,0,moraine,0,141.67052402564406,62.19351283352631,141.67052402565582,15.895402238425902
788,788,M(e),90.008,29.873,2019,14.55,5290,0,moraine,0,14.870724101271463,12.692393646165723,14.870724101269941,0.43566609102084364
789,789,E(o),90.183,29.818,2019,18.71,5356,0,other,0,13.478496392888935,12.076104202805064,13.478496392890726,0.28047843801713235
790,790,E(o),90.151,29.773,2019,13.83,5271,0,other,0,12.003619308143126,8.106341568064165,12.003619308144037,0.7794555480159744
791,791,O,90.439,29.504,2019,11.03,5352,0,other,0,9.145797158294634,6.877538025991877,9.145797158292384,0.4536518264601014
792,792,E(o),90.436,29.484,2019,12.88,5332,0,other,0,15.713442574943612,6.877538025991877,15.713442471333424,1.7671808890683096
793,793,E(o),90.414,29.475,2019,20.72,5325,0,other,0,15.713442574943612,5.628711346332484,15.713442471333424,2.016946225000188
794,794,E(o),90.495,29.437,2019,11.37,5373,0,other,0,8.524376761438463,1.8769234549482403,8.524376761436644,1.3294906612976807
